(5,1,27),
(14,2,3),
(47,3,4),
(68,4,30),
(70,5,15),
(40,6,39),
(53,7,49),
(76,8,27),
(77,9,9),
(69,10,16),
(85,11,42),
(29,12,35),
(78,13,47),
(60,14,27),
(58,15,18),
(76,16,15),
(29,17,41),
(38,18,22),
(56,19,46),
(83,20,26),
(47,21,35),
(58,22,43),
(59,23,35),
(57,24,22),
(59,25,41),
(2,26,33),
(99,27,29),
(47,28,3),
(50,29,16),
(53,30,4),
(98,31,48),
(48,32,1),
(10,33,39),
(36,34,22),
(43,35,49),
(24,36,31),
(59,37,16),
(33,38,42),
(87,39,41),
(89,40,10),
(24,41,48),
(53,42,18),
(45,43,31),
(96,44,40),
(28,45,8),
(37,46,1),
(62,47,17),
(83,48,17),
(15,49,13),
(50,50,45),
(6,51,28),
(69,52,7),
(58,53,23),
(90,54,26),
(75,55,17),
(82,56,29),
(59,57,21),
(41,58,27),
(91,59,34),
(18,60,45),
(73,61,2),
(12,62,50),
(65,63,43),
(74,64,40),
(17,65,50),
(59,66,19),
(3,67,38),
(16,68,37),
(42,69,22),
(71,70,42),
(84,71,8),
(26,72,23),
(49,73,49),
(89,74,28),
(87,75,13),
(75,76,19),
(96,77,33),
(6,78,15),
(48,79,34),
(61,80,30),
(7,81,37),
(40,82,44),
(70,83,49),
(7,84,6),
(12,85,29),
(76,86,25),
(17,87,3),
(28,88,48),
(64,89,25),
(54,90,30),
(82,91,20),
(38,92,47),
(56,93,18),
(65,94,14),
(68,95,3),
(72,96,35),
(96,97,23),
(44,98,47),
(34,99,26),
(58,100,43)
